Date,Service,Cost
2026-02-01,EC2,45.50
2026-02-02,EC2,47.25
2026-02-03,EC2,48.00
2026-02-04,EC2,50.00
2026-02-05,EC2,150.75
2026-02-06,EC2,145.25
2026-02-07,EC2,148.50
2026-02-01,S3,15.25
2026-02-02,S3,16.50
2026-02-03,S3,15.75
2026-02-04,S3,17.00
2026-02-05,S3,18.25
2026-02-06,S3,19.50
2026-02-07,S3,20.00
2026-02-01,RDS,85.00
2026-02-02,RDS,86.50
2026-02-03,RDS,220.00
2026-02-04,RDS,215.75
2026-02-05,RDS,218.25
2026-02-06,RDS,210.50
2026-02-07,RDS,212.00
2026-02-01,Lambda,5.25
2026-02-02,Lambda,5.50
2026-02-03,Lambda,5.75
2026-02-04,Lambda,6.00
2026-02-05,Lambda,6.25
2026-02-06,Lambda,6.50
2026-02-07,Lambda,6.75
